index,Model Name,Price for New Car,is_new
222,infiniti q30,147800,Past
223,bmw m5,577000,
224,hyundai tucson,171999,
225,mitsubishi colt,45000,Past
226,kia stonic,96999,
227,bmw 740i,258800,Past
228,jaguar f-type,395999,
229,bmw 730li,473888,
230,jaguar xj,233000,Past
231,maserati ghibli,318800,
232,audi e-tron,357960,
233,mercedes-benz c200,209000,
234,suzuki every,64000,
235,audi q7,360000,
236,bmw 335i,235800,Past
237,rolls-royce phantom,1530000,
238,isuzu nqr75u,-1,Past
239,bentley bentayga,839000,
240,chevrolet cruze,95999,Past
241,isuzu fvr34,-1,Past
242,renault grand,140999,
243,mercedes-benz clk230,-1,Past
244,jaguar e-pace,223999,
245,nissan gtr,336300,Past
246,mercedes-benz s320l,406888,Past
247,mercedes-benz e220,239000,
248,mitsubishi rosa,-1,Past
249,nissan double-cab,-1,Past
250,bmw m3,376888,
251,toyota noah,156800,
252,kia k2500,70000,
253,mercedes-benz 300gd,-1,Past
254,bmw x2,231888,
255,renault fluence,128999,Past
256,chevrolet orlando,116999,Past
257,mercedes-benz v220,-1,Past
258,dongfeng star,39999,Past
259,cupra ateca,246999,
260,honda s2000,145988,Past
261,isuzu cyz52k,-1,Past
262,renault kangoo,103800,
263,land rover defender,197000,
264,bmw m135i,277888,
265,audi a8,408000,
266,ford focus,59900,Past
267,ferrari f8,998000,
268,nissan 200sx,-1,Past
269,porsche cayman,280988,
270,honda cr-v,175999,
271,yutong zk6100h,-1,Past
272,golden dragon xml6103,-1,Past
273,nissan elgrand,139800,Past
274,toyota proace,-1,Past
275,volkswagen kombi,-1,Past
276,ford tudor,-1,Past
277,toyota fortuner,155388,Past
278,volvo s80,151317,Past
279,mercedes-benz slk200,217888,Past
280,volkswagen touran,179900,
281,toyota isis,-1,Past
282,volvo xc60,258000,
283,dodge journey,76888,Past
284,toyota gr,104888,
285,toyota townace,-1,Past
286,porsche boxster,285788,
287,mercedes-benz slk250,-1,Past
288,hyundai kona,124999,
289,citroen dispatch,48888,Past
290,porsche 718,280988,
291,hyundai i30,115999,
292,mercedes-benz glc200,286888,
293,mercedes-benz citan,135988,Past
294,kia carens,52999,Past
295,volkswagen sharan,210400,
296,audi tt,280976,
297,bmw 218i,203000,
298,mazda rx-8,186988,Past
299,infiniti q50,157800,Past
300,nissan juke,111300,Past
301,mercedes-benz 280s,-1,Past
302,kia sportage,66744,Past
303,toyota rush,-1,Past
304,nissan urvan,46500,Past
305,mercedes benz,167000,
306,volkswagen karmann,-1,Past
307,seat arona,105999,
308,hyundai verna,43999,Past
309,maxus g10,99988,
310,ferrari f12berlinetta,-1,Past
